Project,Token,Address
Augur,REP,0x48c80F1f4D53D5951e5D5438B54Cba84f29F32a5
ICONOMI,ICN,0x888666CA69E0f178DED6D75b5726Cee99A87D698
Golem,GNT,0xa74476443119A942dE498590Fe1f2454d7D4aC0d
Digix,DGD,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a
Pluton (Plutus),PLU,0xD8912C10681D8B21Fd3742244f44658dBA12264E
SingularDTV,SNGLS,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009
First Blood,1ST,0xAf30D2a7E90d7DC361c8C4585e9BB7D2F6f15bc7
VSice (VDlice),VSL,0x5c543e7AE0A1104f78406C340E9C64FD9fCE5170
Hacker Gold (Ether.camp),HKG,0x14f37b574242d366558db61f3335289a5035c506
Maker DAO,MKR,0xc66ea802717bfb9833400264dd12c2bceaa34a6d
Chrono Bank,TIME,0x6531f133e6DeeBe7F2dcE5A0441aA7ef330B4e53
Unicorns (Ethereum Fundation),UNICORNS,0x89205a3a3b2a69de6dbf7f01ed13b2108b2c43e7
Xaurum,XAUR,0x4DF812F6064def1e5e029f1ca858777CC98D2D81
Acade City,ARC,0xAc709FcB44a43c35F0DA4e3163b117A17F3770f5
Swarm City,SWT,0xb9e7f8568e08d5659f5d29c4997173d84cdf2607
Bitpark Coin,BPC,0xf3d29fb98d2dc5e78c87198deef99377345fd6f1
Round,ROUND,0x4993CB95c7443bdC06155c5f5688Be9D8f6999a5